scenario,scenario_label,domain,metric,label,unit,year_2010,base_year,target_year,value_2010,value_base,value_2050,growth_2010_to_base_pct,growth_2010_to_2050_pct,growth_base_to_2050_pct,data_type_2010,data_type_base,data_type_2050,source_id,note
initiative_cagr,Scénario initiative CAGR,Tension,absorption_pressure,Tension d’absorption,points,2010,2024,2050,0,19.75,34.16,19.75,34.16,-18.24,observed,estimated,estimated,absorption_pressure_v1,"Indice composite V1: effort d’absorption logement 35%, écoles 20%, santé 20%, transports 25%. L’impact coût correspond à l’écart de tension du scénario par rapport à la tendance actuelle."
initiative_cagr,Scénario initiative CAGR,Aide sociale,social_assistance_spending,Aide sociale économique (Suisse),M CHF,2010,2024,2050,1931.95292,2585.633862,3632.18,33.84,88.01,40.48,official_proxy,official_proxy,estimated,bfs_fibs_social_assistance_ch,Dépenses nettes d’aide sociale économique OFS FIBS Suisse; proxy de croissance en attente de l’export cantonal Genève. 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_cagr,Scénario initiative CAGR,Aide santé,health_premium_subsidy_cantonal,Subsides maladie cantonaux,M CHF,2010,2024,2050,158.2,447.77,1006.74,183.04,536.37,124.83,observed,observed,estimated,ofsp_health_premium_subsidies;rts_geneva_health_subsidy_reform_2020,"Part cantonale des réductions de primes LAMal; rupture de régime 2020 documentée, 2050 = lissage linéaire 10 ans ajusté par l’écart de tension vs tendance actuelle."
initiative_cagr,Scénario initiative CAGR,Santé,health_cost_per_insured,Coût santé par assuré,CHF/an,2010,2024,2050,3969.8,5762.8,9414.14,45.17,137.14,63.36,observed,observed,estimated,ofsp_dashboard_health_insurance,Coûts annuels par assuré; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_cagr,Scénario initiative CAGR,Santé,physicians,Médecins,médecins,2010,2024,2050,,,,,,,missing,missing,missing,ocstat_geneva_health_system,Série médecins historique lacunaire; ne pas confondre avec le besoin additionnel.
initiative_cagr,Scénario initiative CAGR,Santé,hospital_beds,Lits hospitaliers,lits,2010,2024,2050,2714,,,,,,observed,missing,missing,ocstat_geneva_health_system,Lits observés; 2050 = stock base + besoin additionnel si le stock existe.
initiative_cagr,Scénario initiative CAGR,Transports publics,tpg_passengers,Fréquentation TPG,voyageurs/an,2010,2024,2050,172057000,222254000,357537502.71,29.17,107.8,60.87,observed,observed,estimated,ocstat_geneva_transport,Fréquentation annuelle; 2050 estimé par tendance si la série est complète.
initiative_cagr,Scénario initiative CAGR,Transports publics,transport_revenue,Revenus des transports TPG,M CHF,2010,2024,2050,127.9,156.55,227.87,22.4,78.16,45.56,observed,observed,estimated,tpg_annual_reports_finance,Revenus des transports selon comptes de résultat TPG; 2050 estimé par tendance.
initiative_cagr,Scénario initiative CAGR,Transports publics,operating_subsidy,Subvention / indemnité TPG,M CHF,2010,2024,2050,183.54,283.37,519.03,54.39,182.79,83.16,observed,observed,estimated,tpg_annual_reports_finance,Indemnité/subvention d’exploitation; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
initiative_cagr,Scénario initiative CAGR,Transports publics,operating_expenses,Charges d’exploitation TPG,M CHF,2010,2024,2050,354.89,551.98,1024.99,55.54,188.82,85.69,observed,observed,estimated,tpg_annual_reports_finance,Charges d’exploitation selon comptes de résultat TPG; 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
